OS NameSpace	OS Deployment Config	BitBucket Project	Bit Bucket Repo	OS Image
customer-and-account-management	customer-management-services	CAAM	customer-management-services.git	docker-registry.default.svc:5000/customer-and-account-management/customer-management-services@sha256:4313c138c42cbd1361899e0b635f721bf50f82a87fc1eea7ddb23d614b2caae7
customer-and-account-management	ldap-dc	opt	image-ldap.git	docker-registry.default.svc:5000/base-images/ldap-service@sha256:1532c5d5f89770f2bcde4961c1e07edb0e24824497b994c5f909e173198e9855
device-information	ldap-dc	opt	image-ldap.git	docker-registry.default.svc:5000/base-images/ldap-service@sha256:1532c5d5f89770f2bcde4961c1e07edb0e24824497b994c5f909e173198e9855
device-information	tac-cache-service	DI	tac-cache-service.git	docker-registry.default.svc:5000/device-information/tac-cache-service@sha256:6e3f958b5b43d38fa830fdcf22e7516eed05e494d0ccb4611593b8cdbbd6f1e3
device-information	terminal-type-service	DI	terminal-type-service.git	docker-registry.default.svc:5000/device-information/terminal-type-service@sha256:09093540500810f91ee183aa3af6d9d869cbc224750b237dab3888897b1fb16e
los	administration	LOS	administration.git	docker-registry.default.svc:5000/los/administration@sha256:64a5337562d5c4063a8e1954496a9345fb33a150dc104a24d73e480750582b04
los	contractor-order	LOS	contractor-order.git	docker-registry.default.svc:5000/los/contractor-order@sha256:12f801e04fabf8e385374000b3753be866356626ffb71ce774140676c8ab8723
los	equipment-order	LOS	equipment-order.git	docker-registry.default.svc:5000/los/equipment-order@sha256:bfd6cd1214cd0b9d08bd7410772117e9d420294fea523f6b3a8de7219f70151f
los	goods-reception	LOS	goods-reception.git	docker-registry.default.svc:5000/los/goods-reception@sha256:b591dc7cd3541b13b72c62863ff20cb39483ee5611b1e08c2af870c0d7b844ba
los	response-handling	LOS	response-handling.git	docker-registry.default.svc:5000/los/response-handling@sha256:8e6f0b5f82a71a86c7c714efd655e222fbe2d7706be5cecf280243cb1b37ad99
los	users-permissions	LOS	users-permissions.git	docker-registry.default.svc:5000/los/users-permissions@sha256:a50340caf9aef7b0d0f6e463e0a60227411ec12a8c1104be4288bd2ada693c28
order-entry	jaspersubscription-service-v1	B2BS	b2b-jaspersubscription-service-v1.git	docker-registry.default.svc:5000/order-entry/jaspersubscription-service-v1@sha256:eba08c78cf1087b9bad6ddaa47f6999e831524b266ac6f9ee1ae52c77c791027
order-entry	ldap-dc	opt	image-ldap.git	docker-registry.default.svc:5000/base-images/ldap-service@sha256:1532c5d5f89770f2bcde4961c1e07edb0e24824497b994c5f909e173198e9855
order-entry	sim-order-service	RMSN	sim-order-service.git	docker-registry.default.svc:5000/order-entry/sim-order-service@sha256:61daa57b27684dc5f5d66c6ef5b033dd572a6985489a3746b73a78a510c05919
order-entry	stock-subscription-bulk-order-service	RMSN	stock-subscription-bulk-order-service.git	docker-registry.default.svc:5000/order-entry/stock-subscription-bulk-order-service@sha256:9f98bf4c82408e8e1b278f33a0a2f1be44e52c177f00cd667df7ae8ca2d6dcb7
order-processing-services	eventbroker	MOOX	eventbroker.git	docker-registry.default.svc:5000/order-processing-services/eventbroker@sha256:474ef0e55f8adc016b31fbc9c2914e696626a27eca50b7a032e427a037100c3a
order-processing-services	mooa2	MOOX	mooa2.git	docker-registry.default.svc:5000/order-processing-services/mooa2@sha256:ac93d068f9876ba9ac173624aceb0fd622c4bd710ae281b9ca90ad6d89b5720e
order-processing-services	mooacc	MOOX	mooacc.git	docker-registry.default.svc:5000/order-processing-services/mooacc@sha256:815f08495989fa02a8dfddbfe6d816b683d04e78ce93cf46f03c457d84e4bea2
